TeamUID,Cohort,Group,TBL1_TBL3_diff,TBL1_TBL3_1_diff,TBL1_TBL3_2_diff,TBL1_TBL3_3_diff,TBL1_TBL3_4_diff,TBL1_TBL3_5_diff,TBL1_TeamRating,TBL1_1_Engagement,TBL1_2_Conflict,TBL1_3_Roles,TBL1_4_DecisionMkg,TBL1_5_Planning,TBL2_TeamRating,TBL2_1_Engagement,TBL2_2_Conflict,TBL2_3_Roles,TBL2_4_DecisionMkg,TBL2_5_Planning,TBL3_TeamRating,TBL3_1_Engagement,TBL3_2_Conflict,TBL3_3_Roles,TBL3_4_DecisionMkg,TBL3_5_Planning
202025,2020,25,4,1,1,1,-1,2,14,3,3,2,4,2,16,3,4,3,4,2,18,4,4,3,3,4
202101,2021,1,0,0,0,0,0,0,20,4,4,4,4,4,20,4,4,4,4,4,20,4,4,4,4,4
202102,2021,2,6,0,1,2,1,2,14,4,3,2,3,2,17,4,4,2,4,3,20,4,4,4,4,4
202103,2021,3,2,0,0,1,0,1,15,4,4,2,3,2,17,4,4,2,3,4,17,4,4,3,3,3
202104,2021,4,0,0,0,0,0,0,20,4,4,4,4,4,18,4,3,3,4,4,20,4,4,4,4,4
202105,2021,5,7,1,2,2,1,1,11,2,2,2,3,2,16,3,4,2,4,3,18,3,4,4,4,3
202106,2021,6,3,1,0,1,1,0,17,3,4,3,3,4,19,4,4,4,3,4,20,4,4,4,4,4
202107,2021,7,0,0,0,-1,0,1,19,4,4,5,4,2,15,4,3,3,3,2,19,4,4,4,4,3
202108,2021,8,0,0,0,0,0,0,20,4,4,4,4,4,20,4,4,4,4,4,20,4,4,4,4,4
202109,2021,9,3,0,1,1,1,0,17,4,3,3,3,4,18,4,4,3,4,3,20,4,4,4,4,4
202110,2021,10,3,1,0,0,1,1,17,3,4,4,3,3,20,4,4,4,4,4,20,4,4,4,4,4
202111,2021,11,2,0,0,1,-1,2,16,4,4,2,4,2,18,4,4,3,3,4,18,4,4,3,3,4
202112,2021,12,2,0,0,1,1,0,18,4,4,3,3,4,20,4,4,4,4,4,20,4,4,4,4,4
202113,2021,13,1,0,0,2,0,-1,17,4,4,2,3,4,18,4,4,4,3,3,18,4,4,4,3,3
202114,2021,14,1,0,0,2,0,-1,18,4,4,2,4,4,17,4,4,2,4,3,19,4,4,4,4,3
202115,2021,15,1,-1,1,1,-1,1,16,4,3,3,4,2,16,3,4,4,3,2,17,3,4,4,3,3
202116,2021,16,3,0,0,1,0,2,17,4,4,3,4,2,19,4,4,4,3,4,20,4,4,4,4,4
202117,2021,17,2,0,0,2,1,-1,17,4,4,2,3,4,19,4,4,3,4,4,19,4,4,4,4,3
202118,2021,18,2,1,0,1,0,0,17,3,4,3,3,4,16,4,4,2,4,2,19,4,4,4,3,4
202119,2021,19,2,0,-1,2,0,1,15,4,4,2,3,2,17,4,4,3,4,2,17,4,3,4,3,3
202120,2021,20,3,0,0,2,1,0,17,4,4,2,3,4,9999,9999,9999,9999,9999,9999,20,4,4,4,4,4
202121,2021,21,2,0,0,1,0,1,18,4,4,3,4,3,19,4,4,3,4,4,20,4,4,4,4,4
202122,2021,22,2,0,0,2,0,0,17,4,4,2,4,3,15,4,4,2,3,2,19,4,4,4,4,3
202123,2021,23,2,1,0,0,0,1,17,3,4,4,4,2,20,4,4,4,4,4,19,4,4,4,4,3
202124,2021,24,4,0,0,2,1,1,16,4,4,2,3,3,17,4,4,4,3,2,20,4,4,4,4,4
202125,2021,25,3,0,0,1,1,1,15,4,4,2,3,2,18,4,4,3,4,3,18,4,4,3,4,3
