UID,Cohort,Group,Sum_Introversion,Sum_Extroversion,TBL1_iRAT,TBL2_iRAT,TBL3_iRAT,TBL1_tRAT,TBL2_tRAT,TBL3_tRAT,TBL1_RATdiff,TBL2_RATdiff,TBL3_RATdiff
23402,2021,19,21,13,4,3,3,15,13,14,3,4,5
23153,2021,20,6,30,5,2,3,15,8,15,0,2,6
23163,2021,20,4,32,4,2,3,15,8,15,3,2,6
23164,2021,20,19,14,5,2,0,15,8,15,0,2,15
23368,2021,20,9,27,2,0,3,15,0,15,9,0,6
23372,2021,20,7,29,3,2,0,15,8,0,6,2,0
23382,2021,20,19,15,4,2,3,15,8,15,3,2,6
23415,2021,20,23,13,3,2,4,15,8,15,6,2,3
23146,2021,21,26,8,4,2,2,15,12,15,3,6,9
23175,2021,21,22,13,3,1,4,15,12,15,6,9,3
23262,2021,21,28,6,3,3,1,15,12,15,6,3,12
23303,2021,21,21,14,3,2,2,15,12,15,6,6,9
23396,2021,21,13,22,3,3,4,15,12,15,6,3,3
23622,2021,21,21,14,5,3,3,15,12,15,0,3,6
23151,2021,22,24,12,2,2,4,15,12,15,9,6,3
23159,2021,22,19,17,3,4,5,15,12,15,6,0,0
23178,2021,22,13,21,3,4,3,15,12,15,6,0,6
23279,2021,22,23,13,4,3,3,15,12,15,3,3,6
23292,2021,22,14,22,3,3,2,15,12,15,6,3,9
23381,2021,22,22,12,3,1,3,15,12,15,6,9,6
23400,2021,22,14,21,3,2,4,15,12,15,6,6,3
23180,2021,23,21,12,4,3,4,15,14,13,3,5,1
23258,2021,23,26,9,4,3,3,15,14,13,3,5,4
23296,2021,23,18,16,5,2,3,15,14,13,0,8,4
23371,2021,23,24,10,3,4,1,15,14,13,6,2,10
23380,2021,23,19,14,5,4,3,15,14,13,0,2,4
23392,2021,23,6,30,5,2,4,15,14,13,0,8,1
23728,2021,23,15,21,4,4,1,15,14,13,3,2,10
10267,2021,24,24,11,3,2,5,15,14,15,6,8,0
23160,2021,24,25,10,3,1,3,15,14,15,6,11,6
23195,2021,24,19,17,5,2,2,15,14,15,0,8,9
23254,2021,24,23,13,5,5,4,15,14,15,0,-1,3
23337,2021,24,18,17,2,2,2,15,14,15,9,8,9
23338,2021,24,16,20,4,3,2,15,14,15,3,5,9
23445,2021,24,11,24,2,1,3,15,14,15,9,11,6
23161,2021,25,4,32,3,1,3,15,11,15,6,8,6
23167,2021,25,14,21,4,1,0,15,11,15,3,8,15
23188,2021,25,21,13,1,1,1,15,11,15,12,8,12
23283,2021,25,10,26,3,2,4,15,11,15,6,5,3
23304,2021,25,13,21,3,2,2,15,11,15,6,5,9
23343,2021,25,15,18,0,3,1,15,11,15,15,2,12
23399,2021,25,9,27,4,3,4,15,11,15,3,2,3
