UID2,UID,Section
ID,ID,Section
19079,2019200212,F2F_2019
19081,2019260213,F2F_2019
19082,2019060214,F2F_2019
19083,2019080215,F2F_2019
19110,2019220216,F2F_2019
19111,2019200217,F2F_2019
19112,2019180218,F2F_2019
19131,2019220219,F2F_2019
19134,2019040220,F2F_2019
19135,2019250221,F2F_2019
19136,2019180222,F2F_2019
19138,2019170223,F2F_2019
19139,2019180224,F2F_2019
19140,2019220225,F2F_2019
19141,2019230226,F2F_2019
19142,2019010227,F2F_2019
19143,2019030228,F2F_2019
19144,2019080229,F2F_2019
19145,2019100230,F2F_2019
19153,2019150231,F2F_2019
19397,2020120232,F2F_2020
20919,2020050001,F2F_2020
20920,2020180002,F2F_2020
20921,2020040003,F2F_2020
20922,2020050004,F2F_2020
20925,2020190005,F2F_2020
20926,2020110006,F2F_2020
20927,2020190007,F2F_2020
20928,2020250008,F2F_2020
20929,2020040009,F2F_2020
20930,2020150010,F2F_2020
20931,2020210011,F2F_2020
20932,2020080012,F2F_2020
20933,2020060013,F2F_2020
20934,2020200014,F2F_2020
20936,2020020015,F2F_2020
20937,2020180016,F2F_2020
20938,2020090017,F2F_2020
20939,2020190018,F2F_2020
20940,2020050019,F2F_2020
20941,2020200020,F2F_2020
20942,2020030021,F2F_2020
20945,2020230022,F2F_2020
20946,2020220023,F2F_2020
20947,2020160024,F2F_2020
20948,2020220025,F2F_2020
20949,2020120026,F2F_2020
20950,2020250027,F2F_2020
20951,2020030028,F2F_2020
20952,2020100029,F2F_2020
20953,2020220030,F2F_2020
20954,2020080031,F2F_2020
20955,2020190032,F2F_2020
20956,2020110033,F2F_2020
20957,2020110034,F2F_2020
20958,2020180035,F2F_2020
20959,2020130036,F2F_2020
20960,2020160037,F2F_2020
20961,2020100038,F2F_2020
20962,2020090039,F2F_2020
20963,2020020040,F2F_2020
20964,2020210041,F2F_2020
20965,2020200042,F2F_2020
20966,2020050043,F2F_2020
20967,2020130044,F2F_2020
20968,2020060045,F2F_2020
20969,2020240046,F2F_2020
20970,2020150047,F2F_2020
21044,2020050048,F2F_2020
21045,2020100049,F2F_2020
21046,2020140050,F2F_2020
21047,2020230051,F2F_2020
21049,2020240052,F2F_2020
21050,2020130053,F2F_2020
21051,2020220054,F2F_2020
21052,2020060055,F2F_2020
21053,2020030056,F2F_2020
21054,2020160057,F2F_2020
21055,2020220058,F2F_2020
21057,2020020059,F2F_2020
21058,2020090060,F2F_2020
21059,2020030061,F2F_2020
21061,2020010062,F2F_2020
21062,2020250063,F2F_2020
21063,2020080064,F2F_2020
21064,2020220065,F2F_2020
21065,2020100066,F2F_2020
21066,2020230067,F2F_2020
21068,2020160068,F2F_2020
21069,2020220069,F2F_2020
21070,2020020070,F2F_2020
21071,2020150071,F2F_2020
21072,2020150072,F2F_2020
21073,2020130073,F2F_2020
21076,2020150074,F2F_2020
21077,2020140075,F2F_2020
21078,2020090076,F2F_2020
21079,2020150077,F2F_2020
21080,2020040078,F2F_2020
21081,2020010079,F2F_2020
21082,2020050080,F2F_2020
21083,2020180081,F2F_2020
21084,2020090082,F2F_2020
21086,2020220083,F2F_2020
21087,2020140084,F2F_2020
21088,2020240085,F2F_2020
21089,2020060086,F2F_2020
21090,2020070087,F2F_2020
21091,2020010088,F2F_2020
21092,2020160089,F2F_2020
21093,2020130090,F2F_2020
21095,2020170091,F2F_2020
21096,2020140092,F2F_2020
21097,2020240093,F2F_2020
21098,2020180094,F2F_2020
21099,2020140095,F2F_2020
21100,2020240096,F2F_2020
21102,2020080097,F2F_2020
21103,2020050098,F2F_2020
21104,2020250099,F2F_2020
21105,2020110100,F2F_2020
21106,2020080101,F2F_2020
21107,2020110102,F2F_2020
