,Cohort,Group,Sum_Introversion,Sum_Extroversion
288,2020,7,13,22
289,2020,7,20,16
290,2020,8,16,19
291,2020,8,30,6
292,2020,8,12,24
293,2020,8,23,12
294,2020,8,10,25
295,2020,8,18,18
296,2020,8,24,10
297,2020,8,15,19
298,2020,8,17,18
299,2020,9,12,23
300,2020,9,19,15
301,2020,9,20,16
302,2020,9,21,14
303,2020,9,23,11
304,2020,9,15,18
305,2020,9,15,20
306,2020,9,14,20
307,2020,9,8,25
308,2020,10,8,26
309,2020,10,17,16
310,2020,10,25,11
311,2020,10,19,15
312,2020,10,18,18
313,2020,10,12,24
314,2020,10,30,5
315,2020,10,15,19
316,2020,10,18,15
317,2020,11,29,7
318,2020,11,25,11
319,2020,11,20,16
320,2020,11,29,7
321,2020,11,3,30
322,2020,11,18,18
323,2020,11,28,8
324,2020,11,26,9
325,2020,12,23,11
326,2020,12,23,11
327,2020,12,9,27
328,2020,12,6,27
329,2020,12,19,15
330,2020,12,24,10
331,2020,12,19,16
332,2020,12,21,14
333,2020,13,7,29
334,2020,13,18,17
335,2020,13,12,24
336,2020,13,16,18
337,2020,13,22,13
338,2020,13,18,17
339,2020,13,20,15
340,2020,14,18,16
341,2020,14,22,13
342,2020,14,15,21
343,2020,14,17,18
344,2020,14,27,9
345,2020,14,17,16
346,2020,14,9,27
347,2020,14,14,20
348,2020,14,14,19
349,2020,15,26,9
350,2020,15,21,15
351,2020,15,30,6
352,2020,15,21,14
353,2020,15,25,10
354,2020,15,19,14
355,2020,15,29,7
356,2020,15,14,22
357,2020,15,17,18
358,2020,16,20,15
359,2020,16,16,19
360,2020,16,10,25
361,2020,16,30,6
362,2020,16,26,9
363,2020,16,10,23
364,2020,16,26,10
365,2020,16,15,21
366,2020,16,17,19
367,2020,17,18,16
368,2020,17,12,23
369,2020,17,13,21
370,2020,17,15,21
371,2020,17,9,25
372,2020,17,21,14
373,2020,17,20,16
374,2020,17,19,15
375,2020,18,11,22
376,2020,18,19,15
377,2020,18,18,18
378,2020,18,25,10
379,2020,18,11,23
380,2020,18,23,12
381,2020,18,15,21
382,2020,18,9,26
383,2020,18,24,11
384,2020,19,24,11
385,2020,19,18,17
386,2020,19,22,13
387,2020,19,14,19
388,2020,19,31,5
389,2020,19,17,19
390,2020,19,13,21
391,2020,19,16,18
392,2020,19,19,16
393,2020,20,21,15
394,2020,20,14,19
395,2020,20,24,12
396,2020,20,14,21
397,2020,20,27,9
398,2020,20,23,13
399,2020,20,5,29
400,2020,20,8,25
401,2020,20,21,13
402,2020,21,5,31
403,2020,21,16,18
404,2020,21,9,24
405,2020,21,17,18
406,2020,21,21,14
407,2020,21,7,27
408,2020,21,16,20
409,2020,21,18,17
410,2020,21,14,20
411,2020,22,20,14
412,2020,22,6,28
413,2020,22,11,24
414,2020,22,5,29
415,2020,22,17,16
416,2020,22,16,18
417,2020,22,23,12
418,2020,22,21,14
419,2020,22,6,29
420,2020,23,25,11
421,2020,23,25,11
422,2020,23,16,19
423,2020,23,15,18
424,2020,23,23,11
425,2020,23,18,17
426,2020,23,9,25
427,2020,23,24,12
428,2020,23,15,20
429,2020,23,17,18
430,2020,24,17,18
431,2020,24,21,15
432,2020,24,20,14
433,2020,24,6,28
434,2020,24,14,21
435,2020,24,9,24
436,2020,24,23,12
437,2020,24,15,20
438,2020,24,17,17
439,2020,25,26,8
440,2020,25,18,16
441,2020,25,26,10
442,2020,25,11,23
443,2020,25,16,20
444,2020,25,25,11
445,2020,25,12,24
446,2020,25,11,24
447,2020,25,10,24
448,2021,1,23,12
449,2021,1,11,24
450,2021,1,18,17
451,2021,1,10,25
452,2021,1,17,19
453,2021,1,20,14
454,2021,1,11,24
455,2021,2,19,17
456,2021,2,9,26
457,2021,2,19,16
458,2021,2,13,23
459,2021,2,20,14
460,2021,2,18,17
461,2021,3,8,28
462,2021,3,22,13
463,2021,3,5,31
464,2021,3,19,16
465,2021,3,10,26
466,2021,3,21,15
467,2021,3,9,27
468,2021,4,8,28
469,2021,4,17,16
470,2021,4,11,22
471,2021,4,10,26
472,2021,4,8,26
473,2021,4,22,11
474,2021,5,18,18
475,2021,5,29,4
476,2021,5,22,11
477,2021,5,28,6
478,2021,5,10,25
479,2021,5,27,7
480,2021,5,19,14
481,2021,6,16,17
482,2021,6,20,13
483,2021,6,23,12
484,2021,6,22,14
485,2021,6,6,30
486,2021,6,24,9
487,2021,6,17,17
488,2021,7,11,25
489,2021,7,15,21
490,2021,7,15,21
491,2021,7,5,30
492,2021,7,22,12
493,2021,7,19,14
494,2021,8,20,13
495,2021,8,3,33
496,2021,8,13,23
497,2021,8,17,19
498,2021,8,9,27
499,2021,9,33,2
500,2021,9,11,23
501,2021,9,21,14
502,2021,9,22,12
503,2021,9,20,13
504,2021,9,21,15
505,2021,9,6,30
506,2021,10,13,22
507,2021,10,19,16
508,2021,10,16,18
509,2021,10,9,27
510,2021,10,22,12
511,2021,10,25,9
512,2021,10,16,19
513,2021,11,23,11
514,2021,11,19,17
515,2021,11,13,22
516,2021,11,15,19
517,2021,11,8,26
518,2021,11,7,29
519,2021,11,20,13
520,2021,12,8,25
521,2021,12,7,28
522,2021,12,27,9
523,2021,12,20,14
524,2021,12,11,25
525,2021,12,16,19
526,2021,12,23,12
527,2021,13,23,12
528,2021,13,15,21
529,2021,13,24,11
530,2021,13,17,16
531,2021,13,21,12
532,2021,13,19,16
533,2021,14,12,23
534,2021,14,22,12
535,2021,14,17,19
536,2021,14,26,7
537,2021,14,23,13
538,2021,15,18,15
539,2021,15,16,19
540,2021,15,2,34
541,2021,15,7,29
542,2021,15,20,15
543,2021,15,15,21
544,2021,16,22,11
545,2021,16,4,32
546,2021,16,14,20
547,2021,16,25,10
548,2021,16,25,9
549,2021,16,17,17
550,2021,16,16,19
551,2021,17,24,12
552,2021,17,13,21
553,2021,17,16,20
554,2021,17,6,28
555,2021,17,16,18
556,2021,17,18,17
557,2021,17,26,8
558,2021,18,22,12
559,2021,18,7,29
560,2021,18,17,19
561,2021,18,11,24
562,2021,18,25,10
563,2021,18,13,20
564,2021,19,16,17
565,2021,19,18,16
566,2021,19,14,20
567,2021,19,9,27
568,2021,19,25,8
569,2021,19,8,28
570,2021,19,21,13
571,2021,20,6,30
572,2021,20,4,32
573,2021,20,19,14
574,2021,20,9,27
575,2021,20,7,29
576,2021,20,19,15
577,2021,20,23,13
578,2021,21,26,8
579,2021,21,22,13
580,2021,21,28,6
581,2021,21,21,14
582,2021,21,13,22
583,2021,21,21,14
584,2021,22,24,12
585,2021,22,19,17
586,2021,22,13,21
587,2021,22,23,13
588,2021,22,14,22
589,2021,22,22,12
590,2021,22,14,21
591,2021,23,21,12
592,2021,23,26,9
593,2021,23,18,16
594,2021,23,24,10
595,2021,23,19,14
596,2021,23,6,30
597,2021,23,15,21
598,2021,24,24,11
599,2021,24,25,10
600,2021,24,19,17
601,2021,24,23,13
602,2021,24,18,17
603,2021,24,16,20
604,2021,24,11,24
605,2021,25,4,32
606,2021,25,14,21
607,2021,25,21,13
608,2021,25,10,26
609,2021,25,13,21
610,2021,25,15,18
611,2021,25,9,27
